20	17	E	-1.3081369295399807E7	200
emissionprobs	1	16	H4K20me3	0	0.9977682565597089
emissionprobs	1	16	H4K20me3	1	0.002231743440291085
emissionprobs	2	0	5fC	0	0.7897312474840585
emissionprobs	2	0	5fC	1	0.21026875251594146
emissionprobs	2	1	5hmC	0	0.26384394982001846
emissionprobs	2	1	5hmC	1	0.7361560501799814
emissionprobs	2	2	5mC	0	0.8818524366386911
emissionprobs	2	2	5mC	1	0.11814756336130894
emissionprobs	2	3	CTCF	0	0.9305230444719553
emissionprobs	2	3	CTCF	1	0.06947695552804471
emissionprobs	2	4	H2AZ	0	0.9964093360027547
emissionprobs	2	4	H2AZ	1	0.003590663997245203
emissionprobs	2	5	H2Aub1	0	0.9940607960959645
emissionprobs	2	5	H2Aub1	1	0.005939203904035469
emissionprobs	2	6	H3K27ac	0	0.4305941819405623
emissionprobs	2	6	H3K27ac	1	0.5694058180594377
emissionprobs	2	7	H3K27me3	0	0.9902408679512132
emissionprobs	2	7	H3K27me3	1	0.009759132048786716
emissionprobs	2	8	H3K36me2	0	0.9677120009499016
emissionprobs	2	8	H3K36me2	1	0.032287999050098444
emissionprobs	2	9	H3K36me3	0	0.09606751954014
emissionprobs	2	9	H3K36me3	1	0.90393248045986
emissionprobs	2	10	H3K4me1	0	0.02372234047406836
emissionprobs	2	10	H3K4me1	1	0.9762776595259317
emissionprobs	2	11	H3K4me2	0	0.6039927095032281
emissionprobs	2	11	H3K4me2	1	0.3960072904967718
emissionprobs	2	12	H3K4me3	0	0.624515900876296
emissionprobs	2	12	H3K4me3	1	0.3754840991237039
emissionprobs	2	13	H3K79me2	0	0.613771101621471
emissionprobs	2	13	H3K79me2	1	0.386228898378529
emissionprobs	2	14	H3K9ac	0	0.5474793093950501
emissionprobs	2	14	H3K9ac	1	0.45252069060495
emissionprobs	2	15	H3K9me3	0	0.9770933692136884
emissionprobs	2	15	H3K9me3	1	0.02290663078631158
emissionprobs	2	16	H4K20me3	0	0.9931381108971401
emissionprobs	2	16	H4K20me3	1	0.006861889102859839
emissionprobs	3	0	5fC	0	0.8338768421575917
emissionprobs	3	0	5fC	1	0.1661231578424083
emissionprobs	3	1	5hmC	0	0.546632787575667
emissionprobs	3	1	5hmC	1	0.453367212424333
emissionprobs	3	2	5mC	0	0.8558153797412309
emissionprobs	3	2	5mC	1	0.14418462025876916
emissionprobs	3	3	CTCF	0	0.9524289631469959
emissionprobs	3	3	CTCF	1	0.0475710368530041
emissionprobs	3	4	H2AZ	0	0.9987106371702293
emissionprobs	3	4	H2AZ	1	0.0012893628297706327
emissionprobs	3	5	H2Aub1	0	0.9977298782177552
emissionprobs	3	5	H2Aub1	1	0.002270121782244816
emissionprobs	3	6	H3K27ac	0	0.8000789909187179
emissionprobs	3	6	H3K27ac	1	0.19992100908128205
emissionprobs	3	7	H3K27me3	0	0.99718956730426
emissionprobs	3	7	H3K27me3	1	0.002810432695739984
emissionprobs	3	8	H3K36me2	0	0.9891142713535042
emissionprobs	3	8	H3K36me2	1	0.010885728646495804
emissionprobs	3	9	H3K36me3	0	0.07008163052851753
emissionprobs	3	9	H3K36me3	1	0.9299183694714824
emissionprobs	3	10	H3K4me1	0	0.442269150403024
emissionprobs	3	10	H3K4me1	1	0.5577308495969759
emissionprobs	3	11	H3K4me2	0	0.985151628225262
emissionprobs	3	11	H3K4me2	1	0.014848371774737926
emissionprobs	3	12	H3K4me3	0	0.9902850931906633
emissionprobs	3	12	H3K4me3	1	0.009714906809336673
emissionprobs	3	13	H3K79me2	0	0.9383225387895225
emissionprobs	3	13	H3K79me2	1	0.061677461210477506
emissionprobs	3	14	H3K9ac	0	0.9150371646403767
emissionprobs	3	14	H3K9ac	1	0.08496283535962336
emissionprobs	3	15	H3K9me3	0	0.9882391636394127
emissionprobs	3	15	H3K9me3	1	0.01176083636058732
emissionprobs	3	16	H4K20me3	0	0.9973587592362987
emissionprobs	3	16	H4K20me3	1	0.0026412407637013816
emissionprobs	4	0	5fC	0	0.994463287837256
emissionprobs	4	0	5fC	1	0.005536712162744033
emissionprobs	4	1	5hmC	0	0.9835627344685142
emissionprobs	4	1	5hmC	1	0.01643726553148588
emissionprobs	4	2	5mC	0	0.9910184670227014
emissionprobs	4	2	5mC	1	0.008981532977298635
emissionprobs	4	3	CTCF	0	0.9947065732101493
emissionprobs	4	3	CTCF	1	0.00529342678985061
emissionprobs	4	4	H2AZ	0	0.9997492346606208
emissionprobs	4	4	H2AZ	1	2.507653393792645E-4
emissionprobs	4	5	H2Aub1	0	0.9978270175281857
emissionprobs	4	5	H2Aub1	1	0.002172982471814221
emissionprobs	4	6	H3K27ac	0	0.9979043533582508
emissionprobs	4	6	H3K27ac	1	0.002095646641749191
emissionprobs	4	7	H3K27me3	0	0.9997912296210917
emissionprobs	4	7	H3K27me3	1	2.0877037890840907E-4
emissionprobs	4	8	H3K36me2	0	0.9983989061469243
emissionprobs	4	8	H3K36me2	1	0.001601093853075723
emissionprobs	4	9	H3K36me3	0	0.8675902789039618
emissionprobs	4	9	H3K36me3	1	0.13240972109603816
emissionprobs	4	10	H3K4me1	0	0.9904655129796482
emissionprobs	4	10	H3K4me1	1	0.00953448702035177
emissionprobs	4	11	H3K4me2	0	0.9993232269461966
emissionprobs	4	11	H3K4me2	1	6.767730538033381E-4
emissionprobs	4	12	H3K4me3	0	0.9998019990108435
emissionprobs	4	12	H3K4me3	1	1.9800098915648774E-4
emissionprobs	4	13	H3K79me2	0	0.9726246009463371
emissionprobs	4	13	H3K79me2	1	0.02737539905366295
emissionprobs	4	14	H3K9ac	0	0.999029181823266
emissionprobs	4	14	H3K9ac	1	9.708181767339864E-4
emissionprobs	4	15	H3K9me3	0	0.9990455009656203
emissionprobs	4	15	H3K9me3	1	9.544990343797425E-4
emissionprobs	4	16	H4K20me3	0	0.9990861223260282
emissionprobs	4	16	H4K20me3	1	9.138776739717802E-4
emissionprobs	5	0	5fC	0	0.9696019949533707
emissionprobs	5	0	5fC	1	0.03039800504662934
emissionprobs	5	1	5hmC	0	0.9610580508671336
emissionprobs	5	1	5hmC	1	0.03894194913286645
emissionprobs	5	2	5mC	0	0.9698795354211885
emissionprobs	5	2	5mC	1	0.0301204645788114
emissionprobs	5	3	CTCF	0	0.9809138698454276
emissionprobs	5	3	CTCF	1	0.019086130154572337
emissionprobs	5	4	H2AZ	0	0.9996935272664688
emissionprobs	5	4	H2AZ	1	3.0647273353127534E-4
emissionprobs	5	5	H2Aub1	0	0.9973147336129491
emissionprobs	5	5	H2Aub1	1	0.0026852663870508796
emissionprobs	5	6	H3K27ac	0	0.9835477291857616
emissionprobs	5	6	H3K27ac	1	0.016452270814238463
emissionprobs	5	7	H3K27me3	0	0.9997070166898051
emissionprobs	5	7	H3K27me3	1	2.9298331019479517E-4
emissionprobs	5	8	H3K36me2	0	0.9989207010774125
emissionprobs	5	8	H3K36me2	1	0.0010792989225875205
emissionprobs	5	9	H3K36me3	0	0.12745062527306586
emissionprobs	5	9	H3K36me3	1	0.8725493747269342
emissionprobs	5	10	H3K4me1	0	0.9926694525127766
emissionprobs	5	10	H3K4me1	1	0.007330547487223461
emissionprobs	5	11	H3K4me2	0	0.9990383049122892
emissionprobs	5	11	H3K4me2	1	9.616950877108227E-4
emissionprobs	5	12	H3K4me3	0	0.9999630573777711
emissionprobs	5	12	H3K4me3	1	3.694262222887788E-5
emissionprobs	5	13	H3K79me2	0	0.9839269922617819
emissionprobs	5	13	H3K79me2	1	0.016073007738218105
emissionprobs	5	14	H3K9ac	0	0.995669123365205
emissionprobs	5	14	H3K9ac	1	0.004330876634795105
emissionprobs	5	15	H3K9me3	0	0.9955595210590408
emissionprobs	5	15	H3K9me3	1	0.004440478940959276
emissionprobs	5	16	H4K20me3	0	0.9984256015750538
emissionprobs	5	16	H4K20me3	1	0.0015743984249462206
emissionprobs	6	0	5fC	0	0.9753606864238863
emissionprobs	6	0	5fC	1	0.024639313576113743
emissionprobs	6	1	5hmC	0	0.9641858937612584
emissionprobs	6	1	5hmC	1	0.0358141062387416
emissionprobs	6	2	5mC	0	0.955460882594558
emissionprobs	6	2	5mC	1	0.044539117405442044
emissionprobs	6	3	CTCF	0	0.9953451129190907
emissionprobs	6	3	CTCF	1	0.00465488708090934
emissionprobs	6	4	H2AZ	0	0.9959658702644502
emissionprobs	6	4	H2AZ	1	0.004034129735549899
emissionprobs	6	5	H2Aub1	0	0.9979326388337969
emissionprobs	6	5	H2Aub1	1	0.0020673611662030984
emissionprobs	6	6	H3K27ac	0	0.9530282521212174
emissionprobs	6	6	H3K27ac	1	0.0469717478787826
emissionprobs	6	7	H3K27me3	0	0.9963328609196557
emissionprobs	6	7	H3K27me3	1	0.00366713908034425
emissionprobs	6	8	H3K36me2	0	0.9869687467462319
emissionprobs	6	8	H3K36me2	1	0.013031253253768197
emissionprobs	6	9	H3K36me3	0	0.9006766018935396
emissionprobs	6	9	H3K36me3	1	0.09932339810646046
emissionprobs	6	10	H3K4me1	0	0.9894510580343878
